race_id,race_name,category,date_label,month,year
27607,Grand Prix Jizzakh,2.2,18.06-19.06,6,2026
349,Heistse Pijl,1.1,06.06,6,2026
13188,Mercan'Tour Classic Alpes-Maritimes,1.1,03.06,6,2026
996,Muur Classic Geraardsbergen,1.1,14.06,6,2026
552,Oberösterreich Rundfahrt,2.2,04.06-07.06,6,2026
345,Ronde de l'Oise,2.2,04.06-07.06,6,2026
212,Route d'Occitanie,2.1,18.06-20.06,6,2026
15,Tour Auvergne - Rhône-Alpes,2.UWT,07.06-14.06,6,2026
27853,Tour Szlakiem Mazurskich Twierdz,2.2,19.06-21.06,6,2026
235,Tour de Beauce,2.2,10.06-14.06,6,2026
24919,Tour de Gyeongnam,2.2,09.06-13.06,6,2026
5228,Tour de Maurice,2.2,02.06-05.06,6,2026
16,Tour de Suisse,2.UWT,17.06-21.06,6,2026
193,Tour de Wallonie,2.Pro,01.06-05.06,6,2026
473,Tour du Cameroun,2.2,05.06-14.06,6,2026
250,Tour of Estonia,2.1,04.06-06.06,6,2026
386,Tour of Malopolska,2.2,11.06-14.06,6,2026
211,Tour of Slovenia,2.Pro,17.06-21.06,6,2026
546,Trofeo Alcide Degasperi,1.2,02.06,6,2026
662,Trofeo Citta di Brescia,1.2,30.06,6,2026
488,Vuelta a Venezuela,2.2,31.05-07.06,6,2026
563,Dookola Mazowsza,2.2,22.07-25.07,7,2026
582,GP Hungary,1.2,11.07,7,2026
287,GP Nogent-sur-Oise,1.2,05.07,7,2026
581,GP Slovakia,1.2,12.07,7,2026
398,GP Torres Vedras,2.2,09.07-12.07,7,2026
583,GP de Pérenchies,1.2,26.07,7,2026
559,Giro del Medio Brenta,1.2,05.07,7,2026
27601,Lyon - Torino,2.1,01.07-03.07,7,2026
531,Mem. A.Trochanowskiego,1.2,21.07,7,2026
2088,Midden Brabant,1.2,05.07,7,2026
4014,Puchar Mon,1.2,26.07,7,2026
20074,SD WORX BW Classic,1.2,05.07,7,2026
258,Sibiu Cycling Tour,2.1,04.07-07.07,7,2026
257,Solidarnosc Champions,2.2,01.07-04.07,7,2026
455,Tour de Banyuwangi Ijen,2.2,27.07-30.07,7,2026
17,Tour de France,2.UWT,04.07-26.07,7,2026
63,Tour de l'Ain,2.1,28.07-30.07,7,2026
38,Tour of Austria,2.1,07.07-12.07,7,2026
127,Tour of Magnificent Qinghai,2.Pro,05.07-12.07,7,2026
207,Villafranca de Ordizia,1.1,25.07,7,2026
85,Vuelta a Castilla y León,1.1,26.07,7,2026
20,ADAC Cyclassics,1.UWT,16.08,8,2026
259,Arctic Race of Norway,2.Pro,13.08-16.08,8,2026
