team_slug,team_name,planning_year,race_id,race_name,category,date_label,month,start_date,end_date,pcs_race_slug,historical_years_analyzed,race_type,route_profile,avg_top10_points,avg_winner_points,avg_points_efficiency,avg_stage_top10_points,avg_stage_count,avg_top10_field_form,base_opportunity_index,base_opportunity_points,specialty_fit_score,sprint_fit_bonus,team_fit_score,team_fit_multiplier,participation_confidence,execution_multiplier,expected_points,actual_points,ev_gap,status,team_calendar_status,source,overlap_group,notes,as_of_date
unibet-rose-rockets,Unibet Rose Rockets,2026,123,Bredene Koksijde Classic,1.Pro,20.03,3,2026-03-20,2026-03-20,bredene-koksijde-classic,5.0,One-day,sprint-friendly one-day,915.0,200.0,19.930914892038817,0.0,0.0,4.892,0.31174337713470535,285.2451900782554,0.3753195876288659,0.11037371134020618,0.3918634020618556,0.8175590206185567,0.8,0.3,55.96914677676781,125.0,69.03085322323219,completed,active,team_program_live,,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,4,Milano-Sanremo,1.UWT,21.03,3,2026-03-21,2026-03-21,milano-sanremo,,One-day,hard one-day,895.7142857142857,196.14285714285714,22.896361214464072,0.0,0.0,4.436871428571429,0.34842848218550265,310.9190445598454,0.3716339101620029,0.12137069679675996,0.4000961294182621,0.8200288388254786,0.8,0.18,36.71461196339577,35.0,-1.7146119633957682,completed,active,team_program_live,,matched_via=normalized_name | history_fallback_from=1.Pro | history_missing,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,2729,GP Jean-Pierre Monseré,1.1,22.03,3,2026-03-22,2026-03-22,grote-prijs-jean-pierre-monsere,5.0,One-day,sprint-friendly one-day,540.0,125.0,14.810123182552761,0.0,0.0,3.714,0.17495546950115382,94.47595353062306,0.3844278350515464,0.13883698453608248,0.4271578608247423,0.8281473582474226,0.8,0.4,25.03680362697336,89.0,63.96319637302664,completed,active,team_program_live,,matched_via=token_overlap,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,40,Ronde Van Brugge - Tour of Bruges,1.UWT,25.03,3,2026-03-25,2026-03-25,classic-brugge-de-panne,,One-day,hard one-day,895.7142857142857,196.14285714285714,22.896361214464072,0.0,0.0,4.436871428571429,0.34842848218550265,310.9190445598454,0.3716339101620029,0.12137069679675996,0.4000961294182621,0.8200288388254786,0.8,0.18,36.71461196339577,245.0,208.28538803660422,completed,active,team_program_live,,matched_via=normalized_name | history_fallback_from=1.Pro | history_missing,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,47,E3 Saxo Classic,1.UWT,27.03,3,2026-03-27,2026-03-27,e3-harelbeke,,One-day,hard one-day,895.7142857142857,196.14285714285714,22.896361214464072,0.0,0.0,4.436871428571429,0.34842848218550265,310.9190445598454,0.3716339101620029,0.12137069679675996,0.4000961294182621,0.8200288388254786,0.8,0.18,36.71461196339577,22.0,-14.714611963395768,completed,active,team_program_live,,matched_via=normalized_name | history_fallback_from=1.Pro | history_missing,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,7,In Flanders Fields,1.UWT,29.03,3,2026-03-29,2026-03-29,gent-wevelgem,,One-day,hard one-day,895.7142857142857,196.14285714285714,22.896361214464072,0.0,0.0,4.436871428571429,0.34842848218550265,310.9190445598454,0.3716339101620029,0.12137069679675996,0.4000961294182621,0.8200288388254786,0.8,0.18,36.71461196339577,45.0,8.285388036604232,completed,active,team_program_live,overlap_2,matched_via=normalized_name | history_fallback_from=1.Pro | history_missing,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,260,La Roue Tourangelle,1.1,29.03,3,2026-03-29,2026-03-29,la-roue-tourangelle,5.0,One-day,sprint-friendly one-day,540.0,125.0,13.391209147802433,0.0,0.0,4.112,0.15140073973753518,81.756399458269,0.38135051546391746,0.12922036082474225,0.41523324742268036,0.824569974226804,0.8,0.4,21.572439102137977,75.0,53.42756089786202,completed,active,team_program_live,overlap_2,matched_via=token_overlap,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,145,Paris - Camembert,1.1,31.03,3,2026-03-31,2026-03-31,paris-camembert,5.0,One-day,sprint-friendly one-day,540.0,125.0,12.256911847494733,0.0,0.0,4.4399999999999995,0.13238071103372995,71.48558395821418,0.37881443298969075,0.12129510309278353,0.4054059278350516,0.8216217783505154,0.8,0.4,18.794916037815366,26.0,7.205083962184634,completed,active,team_program_live,,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,75,Dwars door Vlaanderen,1.UWT,01.04,4,2026-04-01,2026-04-01,dwars-door-vlaanderen,,One-day,hard one-day,895.7142857142857,196.14285714285714,22.896361214464072,0.0,0.0,4.436871428571429,0.34842848218550265,310.9190445598454,0.3716339101620029,0.12137069679675996,0.4000961294182621,0.8200288388254786,0.8,0.18,36.71461196339577,53.0,16.285388036604232,completed,active,team_program_live,,matched_via=normalized_name | history_fallback_from=1.Pro | history_missing,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,134,Route Adélie de Vitré,1.1,03.04,4,2026-04-03,2026-04-03,route-adelie-de-vitre,5.0,One-day,hard one-day,540.0,125.0,9.56316255619038,0.0,0.0,5.714,0.07764215558717424,41.92676401707409,0.36205670103092785,0.09051224226804125,0.36205476804123715,0.8086164304123711,0.8,0.4,10.848854482633056,28.0,17.151145517366942,completed,active,team_program_live,,matched_via=token_overlap,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,126,NXT Classic,1.1,04.04,4,2026-04-04,2026-04-04,volta-nxt-classic,4.0,One-day,sprint-friendly one-day,540.0,125.0,18.3887680330837,0.0,0.0,2.955,0.22963099557392233,124.00073760991806,0.39029639175257724,0.15717622422680413,0.44989851804123704,0.8349695554123711,0.8,0.4,33.131789040947005,4.0,-29.131789040947005,completed,active,team_program_live,,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,5,Ronde van Vlaanderen,1.UWT,05.04,4,2026-04-05,2026-04-05,ronde-van-vlaanderen,,One-day,hard one-day,895.7142857142857,196.14285714285714,22.896361214464072,0.0,0.0,4.436871428571429,0.34842848218550265,310.9190445598454,0.3716339101620029,0.12137069679675996,0.4000961294182621,0.8200288388254786,0.8,0.18,36.71461196339577,35.0,-1.7146119633957682,completed,active,team_program_live,,matched_via=normalized_name | history_fallback_from=1.Pro | history_missing,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,217,Région Pays de la Loire Tour,2.Pro,07.04-10.04,4,2026-04-07,2026-04-10,region-pays-de-la-loire,4.0,Stage race,short stage race,628.0,181.0,20.640778152009812,88.0,4.0,3.1075,0.31296259556035605,196.5405100119036,0.2839801998534932,0.16646316074207354,0.3794483106321934,0.813834493189658,0.8,0.25,31.990289271354893,155.0,123.0097107286451,completed,active,team_program_live,overlap_2,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,56,Scheldeprijs,1.Pro,08.04,4,2026-04-08,2026-04-08,scheldeprijs,5.0,One-day,hard one-day,915.0,200.0,12.805852377784209,0.0,0.0,7.353999999999999,0.18450515619357738,168.8222179171233,0.26484020618556703,0.05088595360824745,0.2495161082474227,0.7748548324742268,0.8,0.3,31.395050731703996,12.0,-19.395050731703996,completed,active,team_program_live,overlap_2,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,8,Paris-Roubaix,1.UWT,12.04,4,2026-04-12,2026-04-12,paris-roubaix,,One-day,hard one-day,895.7142857142857,196.14285714285714,22.896361214464072,0.0,0.0,4.436871428571429,0.34842848218550265,310.9190445598454,0.3716339101620029,0.12137069679675996,0.4000961294182621,0.8200288388254786,0.8,0.18,36.71461196339577,35.0,-1.7146119633957682,completed,active,team_program_live,,matched_via=token_overlap | history_fallback_from=1.Pro | history_missing,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,437,Ronde van Limburg,1.1,15.04,4,2026-04-15,2026-04-15,ronde-van-limburg,5.0,One-day,sprint-friendly one-day,540.0,125.0,15.377658851084979,0.0,0.0,3.528,0.18489506789730356,99.84333666454393,0.38586597938144335,0.1433311855670103,0.4327306701030928,0.8298192010309278,0.8,0.4,26.512613714954814,12.0,-14.512613714954814,completed,active,team_program_live,,matched_via=normalized_name,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,77,Brabantse Pijl,1.Pro,17.04,4,2026-04-17,2026-04-17,brabantse-pijl,5.0,One-day,sprint-friendly one-day,915.0,200.0,18.19873484416627,0.0,0.0,5.404,0.28248317286134617,258.47210316813175,0.371360824742268,0.09800257731958766,0.3765231958762887,0.8129569587628865,0.8,0.3,50.43040677998674,14.0,-36.43040677998674,completed,active,team_program_live,overlap_2,matched_via=token_overlap,2026-04-18
unibet-rose-rockets,Unibet Rose Rockets,2026,15075,Classic Grand Besançon Doubs,1.1,17.04,4,2026-04-17,2026-04-17,classic-grand-besancon-doubs,5.0,One-day,sprint-friendly one-day,540.0,125.0,23.146794505137823,0.0,0.0,2.498,0.29165269356920787,157.49245452737225,0.3938298969072165,0.16821842783505153,0.4635908505154639,0.8390772551546392,0.8,0.4,42.28746766476618,21.0,-21.287467664766183,completed,active,team_program_live,overlap_2,matched_via=normalized_name,2026-04-18
